client_id	path	sentence_id	sentence	sentence_domain	up_votes	down_votes	age	gender	accents	variant	locale	segment
011544b78c18417a5869b8e70ebc7675c7eb3b517754b8cc00f4ed15fbc787cece326c7c00c2ab619c069578110d23025230c1b74f3829388739ee39c0d54be3	common_voice_sw_37190902.mp3	50224b5d127fb330f1d373205408953032198882eba8befb5b99f7786416307d	Tuma pesa sahii.		2	0					sw	
0133d8ddf5c1a3c678fde017e0b07d2835bfd707d5b3ec8fb3c88cc283ef184eb62fece980b267593171489875c67e257ec81ce9d85a914e26800c41be723de6	common_voice_sw_31428161.mp3	40ccc5b5aa2446043b3c3662c04483fc651f3cdc540d5a9fd045418118be9298	wachambuzi wa soka wanamtaja Messi kama nyota hatari zaidi duniani		2	0	twenties	female_feminine			sw	
01c95772efd3fbe4a1122206c7474c77ed6591c8c9fb00a9c366e98fbc80c76e95c99e676fd920ebf444e2cc29701be7bbf100fc381a4e08fc949b7c0682aa93	common_voice_sw_30317714.mp3	76767b1bba77cca0e61b7bebcb3f8272e4682dfd5bdf3349e28b256899b43b25	romario aliingia kwenye orodha ya wachezaji waliyofanya vizuri kwenye michuano		2	1					sw	
023711185d4404ff398c2697f2e72868d1ecf69a92b58140a3da4183c145dd06e5550781f3a918f8f5728a1824c020b6e6ce30e553209feff9ff30d5e4339357	common_voice_sw_32116997.mp3	94dff69a81172641eb505d13dfd2781f1ef9472328c3ad80fc127757c79f5ec8	Sote twesangaa twelipomuona mwalimu Ali apika		2	1	twenties	male_masculine			sw	
04e78dc3038488a080fe3c76c28602d0db9e4eec2efbf0cc0b3d9a8d19ce3ddc01bb8843d93425c39dd57cc5bb1b18bfad0b81904478768ed5754bf6417e307a	common_voice_sw_37088105.mp3	0e13dc1c08f65754023f14c45acf2a6e0c84265790dcc5e76d9254aa26ec39b7	ni kikwazo kikubwa katika maendeleo ya afrika		8	5					sw	
068e8c096abea8e22816b048ca63e8ce2e445d82cb98f8067a28c143568493cc28f5b8adf648e80d37bb108ca4bfccce4d3663aa692cbb50aa77374e60ba128d	common_voice_sw_39215547.mp3	9b46434800655d51bc346f242773a31a69afdca2a1ee8d2302d04eb09fcc9e18	ni Waziri Mkuu Mstaafu Mheshimiwa Jaji Joseph Sinde Warioba		2	0	twenties	male_masculine		Kiswahili Sanifu (EA)	sw	
075384d70137641cdfe556cfe5dabe2e95afbe44b9046a0290f98c7b895f72d1c4784d61fc8a3e5ce47c405e060d5a0e7f984090396ba0db584621a50efcd405	common_voice_sw_37930474.mp3	278d786ed4dbfed26c48d43b02b1f5cf08df7455ac5a238e89a5f49e8354781a	Hassan Sheikh Mohamud alimshukuru Rais Joe Biden katika ukurasa wa Twitter siku ya Jumanne akiitaja Marekani		2	0				Kiswahili Sanifu (EA)	sw	
0b6eba69eeb5c2b246b157d926686ce0feb270710fa3d8d4af8f2ac6612ac390b7f83948b8d58b3da939267bd70d5de87dbbcd532f69fc9699ee4f2fea588402	common_voice_sw_37263575.mp3	9324eff859562a9eb91c523ef48b0012e818070a581d57e9c61c59fb3d530f0c	Wale wote ni wafupi		3	0				Kiswahili Sanifu (EA)	sw	
0b8389d70027b70fa9649a2233437d93f134b667b9a98967ef57901099df1030f90ac16758f84586f4ede88cb577bd28a5796117262f7b25aef04b81d6d50055	common_voice_sw_37232004.mp3	9272cfe6c95218c01eedbce72d03fe21a0de0cf01d830a641be055855b191289	Mbona hata matumbo ya mimba yanasemwa sana		11	0					sw	
0facd6d9bfeb529550d673f47160a0c384dd6a45c4cacdef7e9614b6dc419a9a48559a410a6f94f56d94a31077bb885434491ffd848025d3b2a0ed717d9095d2	common_voice_sw_39214086.mp3	979b564618a02bf93f45ae30ed7cf05a98013620dd9daf9859842c477bef2ae5	Katika mahojiano ya Jumapili, Fadzayi Mahere, msemaji wa Umoja wa Wananchi wa Mabadiliko.		6	1	thirties	male_masculine		Kiswahili Sanifu (EA)	sw	
